NGRIP CH4 DATA:,,,,,,,
Column 1: NGRIP depth (m),,,,,,,
"Column 2: Gas age, ss09sea06bm scale",,,,,,,
"Column 3: Gas age, AICC 2012 scale (Veres et al., 2013, Clim. Past 9)",,,,,,,
Column 4: CH4 concentration (ppb),,,,,,,
Column 5: 1-sigma uncertainty CH4 concentration (ppb),,,,,,,
Column 6: Published in,,,,,,,
,,,,,,,
1,2,3,4,5,6,,
depth,age ss09sea06bm,age AICC 2012,ch4,error,published in,,
(m),(years BP),(years BP),(ppb),(ppb),,,
1700.075,17086.2,18013.8,407.3,5.9,Baumgartner et al. (2012),,
1701.765,17144.5,18090.5,407.4,5.9,Schilt et al. (2010),,
1702.825,17185.2,18135.4,403.6,5.9,Baumgartner et al. (2012),,
1702.875,17187.2,18137.5,399.2,5.9,Baumgartner et al. (2012),,
1703.920,17227.8,18183.7,396.3,5.9,Baumgartner et al. (2012),,
1703.965,17229.7,18185.7,402.0,5.9,Baumgartner et al. (2012),,
1704.015,17231.8,18188.0,390.0,5.9,Baumgartner et al. (2012),,
1704.065,17233.9,18190.3,393.7,5.9,Baumgartner et al. (2012),,
1704.125,17237.5,18193.1,394.0,5.9,Baumgartner et al. (2012),,
1704.175,17239.5,18195.4,403.0,5.9,Baumgartner et al. (2012),,
1704.225,17241.7,18197.7,395.7,5.9,Baumgartner et al. (2012),,
1704.275,17243.8,18200.0,398.3,5.9,Baumgartner et al. (2012),,
1704.325,17245.8,18202.3,412.3,5.9,Baumgartner et al. (2012),,
1704.375,17248.0,18204.6,400.3,5.9,Baumgartner et al. (2012),,
1705.525,17298.1,18257.2,384.6,5.9,Baumgartner et al. (2012),,
1706.125,17327.2,18284.7,397.1,5.9,Baumgartner et al. (2012),,
1707.775,17407.9,18364.8,388.2,5.9,Baumgartner et al. (2012),,
1708.875,17463.5,18418.7,399.0,5.9,Baumgartner et al. (2012),,
1709.975,17516.9,18469.7,386.6,5.9,Baumgartner et al. (2012),,
1711.075,17569.0,18521.7,405.2,5.9,Baumgartner et al. (2012),,
1712.725,17648.8,18597.0,390.3,5.9,Baumgartner et al. (2012),,
1713.275,17675.7,18622.1,404.4,5.9,Baumgartner et al. (2012),,
1714.375,17730.2,18672.1,390.0,5.9,Baumgartner et al. (2012),,
1715.475,17785.0,18722.5,395.7,5.9,Baumgartner et al. (2012),,
1716.575,17839.9,18771.9,397.1,5.9,Baumgartner et al. (2012),,
1718.225,17916.7,18844.5,409.3,5.9,Baumgartner et al. (2012),,
1718.775,17941.9,18869.8,394.3,5.9,Baumgartner et al. (2012),,
1719.875,17990.3,18921.1,395.1,5.9,Baumgartner et al. (2012),,
1720.975,18041.9,18972.8,397.8,5.9,Baumgartner et al. (2012),,
1722.075,18092.6,19023.8,403.8,5.9,Baumgartner et al. (2012),,
1723.125,18139.3,19072.0,399.2,5.9,Baumgartner et al. (2012),,
1724.275,18195.6,19122.6,399.8,5.9,Baumgartner et al. (2012),,
1725.375,18253.1,19172.6,413.2,5.9,Baumgartner et al. (2012),,
1725.425,18255.5,19175.0,402.5,5.9,Baumgartner et al. (2012),,
1726.475,18309.9,19224.2,393.5,5.9,Baumgartner et al. (2012),,
1727.575,18366.8,19274.5,389.6,5.9,Baumgartner et al. (2012),,
1728.675,18428.1,19325.4,397.0,5.9,Baumgartner et al. (2012),,
1730.265,18519.2,19395.3,381.0,5.9,Baumgartner et al. (2012),,
1730.875,18554.8,19422.7,398.8,5.9,Baumgartner et al. (2012),,
1731.975,18617.5,19470.5,395.9,5.9,Baumgartner et al. (2012),,
1733.625,18708.8,19541.2,406.7,5.9,Baumgartner et al. (2012),,
1735.275,18797.7,19618.3,393.8,5.9,Baumgartner et al. (2012),,
1736.375,18850.4,19672.3,400.2,5.9,Baumgartner et al. (2012),,
1737.475,18900.6,19725.4,396.6,5.9,Baumgartner et al. (2012),,
1738.575,18948.2,19775.3,378.1,5.9,Baumgartner et al. (2012),,
1739.675,18991.3,19824.0,397.1,5.9,Baumgartner et al. (2012),,
1740.775,19034.1,19873.8,391.7,5.9,Baumgartner et al. (2012),,
1741.885,19079.8,19925.4,392.0,5.9,Baumgartner et al. (2012),,
1743.425,19145.9,19998.4,391.9,5.9,Baumgartner et al. (2012),,
1743.475,19148.2,20000.8,399.5,5.9,Baumgartner et al. (2012),,
1744.315,19181.7,20040.3,389.9,5.9,Baumgartner et al. (2012),,
